Track Name,Artist,Album,Release Date,Label
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,2023-05-18,Rimas Entertainment LLC
Clavaito,Chanel,Clavaito,2023-04-27,Sony Music Entertainment
Supernova,Saiko,Supernova,2023-04-19,2023 SAIKO
Acróstico,Shakira,Acróstico,2023-05-11,Sony Music Latin
EL TONTO,Lola Indigo,EL DRAGÓN,2023-04-13,Universal Music Spain S.L.
Arena y Sal,Omar Montes,Arena y Sal,2023-05-18,Sony Music Latin
Todo Contigo,Álvaro De Luna,Todo Contigo,2023-03-17,WM Spain
Nochentera,Vicco,Nochentera,2022-12-19,Sony Music Entertainment
VAGABUNDO,Sebastian Yatra,VAGABUNDO,2023-05-12,UMLE - Latino
Que te vaya bien,Rvfv,Que te vaya bien,2023-04-21,NASTU MUSIC
La Bebe - Remix,Yng Lvcas,La Bebe (Remix),2023-03-17,WM Mexico
Si La Calle Llama - Remix,Eladio Carrion,3MEN2 KBRN,2023-03-17,Rimas Entertainment LLC
Niña Bonita,Feid,Niña Bonita,2023-04-21,UMLE - Latino
T'as peur,Aya Nakamura,T'as peur,2023-01-25,Rec. 118
Tattoo,Loreen,Tattoo,2023-02-25,Universal Music AB
El Merengue,Marshmello,El Merengue,2023-03-03,Sony Music Latin
Flow Violento - Remix,YoSoyPlex,Flow Violento (Remix),2023-01-13,Plex Music
Mami Chula,Jhayco,Mami Chula,2023-04-28,N&E Entertainment LLC
La Fiesta,Pedro Capó,La Neta,2022-12-02,Sony Music Latin
Classy 101,Feid,Classy 101,2023-03-31,UMLE - Latino
Andando,Morad,Reinsertado,2023-05-12,M.D.L.R
Antes,Rvfv,Antes,2023-03-10,NASTU MUSIC
Arranca (feat. Omega),Becky G,Arranca (feat. Omega),2023-03-10,Kemosabe Records/RCA Records
Ella Baila Sola,Eslabon Armado,Ella Baila Sola,2023-03-16,DEL Records
Coco Chanel,Eladio Carrion,3MEN2 KBRN,2023-03-17,Rimas Entertainment LLC
69,Nicky Jam,69,2023-05-19,Sony Music Latin
Rara Vez,Taiu,Rara Vez,2023-02-08,Universal Music Argentina S.A.
No Estuviste En Lo Malo,Morad,Reinsertado,2023-05-12,M.D.L.R
PLAYA DEL INGLÉS,Quevedo,DONDE QUIERO ESTAR,2023-01-20,Quevedo
DISPARA ***,Nicki Nicole,DISPARA ***,2023-05-17,Sony Music Latin/DALE PLAY Records
Polaris,Saiko,1371 KM,2022-08-26,2022 Saiko
Las Bratz (Remix),Aissa,Las Bratz (Remix),2023-03-08,Aissa el Aslani Erra
BESO,ROSALÍA,RR,2023-03-24,Columbia Records/Duars Entertainment/Sony Music Latin
Los Ángeles,Aitana,Los Ángeles,2023-03-29,Universal Music Spain S.L.
Mi Nena Remix,Maikel Delacalle,Mi Nena Remix,2023-03-23,Universal Music Spain S.L.
Pacto (feat. Luar La L),Jay Wheeler,Pacto (feat. Luar La L),2023-04-24,Linked Music / Dynamic Records / EMPIRE
REMIX EXCLUSIVO,Feid,REMIX EXCLUSIVO,2023-03-17,UMLE - Latino
un x100to,Grupo Frontera,un x100to,2023-04-17,Rimas Entertainment LLC.
Yandel 150,Yandel,Yandel 150,2022-12-20,La Leyenda LLC
Cupido,TINI,Cupido,2023-02-14,5020 Records
Coti x Coti,The Tyets,Coti x Coti,2023-02-17,Luup Records
CHORRITO PA LAS ANIMAS,Feid,SIXDO,2022-12-02,UMLE - Latino
AMARGURA,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,UMLE - Latino
PUNTO G,Quevedo,DONDE QUIERO ESTAR,2023-01-20,Quevedo
MERCHO,LiL CaKe,MERCHO,2022-12-16,Sony Music Argentina
WANDA,Quevedo,DONDE QUIERO ESTAR,2023-01-20,Quevedo
APA,Mora,PARAÍSO,2022-11-03,Rimas Entertainment LLC
VAMPIROS,ROSALÍA,RR,2023-03-24,Columbia Records/Duars Entertainment/Sony Music Latin
MEMORIAS,Mora,MICRODOSIS,2022-04-01,Rimas Entertainment LLC
Estrecho / Alvarado (feat. pablopablo),C. Tangana,Estrecho / Alvarado (feat. pablopablo),2023-05-05,Sony Music Entertainment
